trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2184,False,"{'a': 0.002, 'e': 0.012701946875283497}",25,16,17.091364239413807,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2185,False,"{'a': 0.002, 'e': 0.012676568368499208}",30,3,44.925746792027894,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
2186,False,"{'a': 0.002, 'e': 0.012651240568005305}",25,6,29.65628737206947,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
2187,False,"{'a': 0.002, 'e': 0.012625963372490544}",25,8,32.19284200257895,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2188,False,"{'a': 0.002, 'e': 0.012600736680846106}",20,11,18.232148303110296,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2189,False,"{'a': 0.002, 'e': 0.012575560392165182}",25,7,32.87845012137439,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2190,False,"{'a': 0.002, 'e': 0.012550434405742605}",25,7,26.899269359332376,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2191,False,"{'a': 0.002, 'e': 0.012525358621074385}",25,15,19.17411352649463,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2192,False,"{'a': 0.002, 'e': 0.01250033293785735}",20,3,17.0084474331081,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
2193,False,"{'a': 0.002, 'e': 0.012475357255988723}",20,13,11.868362862402869,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2194,False,"{'a': 0.002, 'e': 0.012450431475565764}",25,16,16.452159729456906,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2195,False,"{'a': 0.002, 'e': 0.012425555496885309}",25,15,20.13844595800122,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2196,False,"{'a': 0.002, 'e': 0.012400729220443406}",25,12,22.95376472162,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2197,False,"{'a': 0.002, 'e': 0.012375952546934911}",20,8,23.058418569709673,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2198,False,"{'a': 0.002, 'e': 0.012351225377253115}",35,23,24.596823019152453,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2199,False,"{'a': 0.002, 'e': 0.012326547612489296}",25,14,21.532425046770054,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2200,False,"{'a': 0.002, 'e': 0.012301919153932363}",25,17,16.332226868060374,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2201,False,"{'a': 0.002, 'e': 0.012277339903068436}",20,14,10.91870471580598,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2202,False,"{'a': 0.002, 'e': 0.012252809761580503}",35,23,25.09259071144082,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2203,False,"{'a': 0.002, 'e': 0.012228328631347955}",25,12,23.54563522995955,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2204,False,"{'a': 0.002, 'e': 0.012203896414446235}",20,14,11.651068142273477,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2205,False,"{'a': 0.002, 'e': 0.012179513013146433}",35,28,13.006949351704447,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2206,False,"{'a': 0.002, 'e': 0.012155178329914935}",20,12,17.02102214421297,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2207,False,"{'a': 0.002, 'e': 0.012130892267412964}",25,15,20.803941380196044,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2208,False,"{'a': 0.002, 'e': 0.012106654728496237}",25,15,6.110545871601557,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
2209,False,"{'a': 0.002, 'e': 0.012082465616214554}",25,16,15.596498989063305,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2210,False,"{'a': 0.002, 'e': 0.012058324833811458}",20,10,17.550265260472905,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2211,False,"{'a': 0.002, 'e': 0.012034232284723775}",20,14,12.680993057582025,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2212,False,"{'a': 0.002, 'e': 0.012010187872581275}",35,18,33.443813545874875,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2213,False,"{'a': 0.002, 'e': 0.01198619150120627}",20,13,14.027400418556455,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2214,False,"{'a': 0.002, 'e': 0.011962243074613261}",30,18,25.706842142632947,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2215,False,"{'a': 0.002, 'e': 0.011938342497008501}",20,10,20.23837962539162,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
